id,n,developer,publisher,release_year,price,rating,review_count,owners,genre_list,tag_list,cat_list
260270,Shadows: Price For Our Sins Bonus Edition,8th Floor Games,Encore;Viva Media,2013,6.99,57.9,183,75000,"['Adventure', 'Casual']","['Adventure', 'Casual', 'Hidden Object']",['Single-player']
260330,Flockers™,Team17 Digital Ltd,Team17 Digital Ltd,2014,14.99,75.8,161,35000,"['Action', 'Indie', 'Strategy']","['Lemmings', 'Indie', 'Strategy']",['Single-player']
260410,Get Off My Lawn!,Digital Leisure Inc.,Digital Leisure Inc.,2014,0.0,74.1,1532,350000,"['Casual', 'Free to Play', 'Indie']","['Free to Play', 'Casual', 'Indie']",['Single-player']
260430,The Four Kings Casino and Slots,Digital Leisure Inc.,Digital Leisure Inc.,2015,0.0,68.4,3004,350000,"['Casual', 'Free to Play', 'Massively Multiplayer', 'Simulation']","['Massively Multiplayer', 'Free to Play', 'Casual']","['Online Multi-Player', 'MMO']"
260570,Gray Matter,WizarBox Production,Viva Media Inc,2014,6.99,89.9,466,75000,"['Adventure', 'Casual']","['Adventure', 'Point & Click', 'Female Protagonist']",['Single-player']
260650,Cold War,Mindware Studios,THQ Nordic,2014,4.49,63.2,185,35000,['Action'],"['Action', 'Stealth', 'Cold War']",['Single-player']
260690,Dark Fall: The Journal,Darkling Room,THQ Nordic,2013,4.49,74.5,145,75000,['Adventure'],"['Adventure', 'Point & Click', 'Horror']",['Single-player']
260730,Desperados: Wanted Dead or Alive,Spellbound,THQ Nordic,2013,4.49,77.4,909,150000,"['Action', 'Strategy']","['Strategy', 'Western', 'Tactical']",['Single-player']
260750,Neighbours from Hell Compilation,JoWooD Vienna,THQ Nordic,2013,8.99,97.0,1690,350000,"['Adventure', 'Casual']","['Comedy', 'Casual', 'Adventure']",['Single-player']
260790,1001 Spikes,"Nicalis, Inc.","Nicalis, Inc.",2014,9.99,81.5,558,75000,"['Action', 'Adventure', 'Indie']","['Platformer', 'Indie', 'Action']","['Single-player', 'Multi-player']"
260930,Emergency 2014,Sixteen Tons Entertainment,Sixteen Tons Entertainment,2013,7.19,54.5,224,75000,['Simulation'],"['Simulation', 'Strategy', 'RTS']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op']"
261110,Killer is Dead - Nightmare Edition,KADOKAWA GAMES / GRASSHOPPER MANUFACTURE,Deep Silver,2014,14.99,75.5,6539,1500000,['Action'],"['Action', 'Hack and Slash', 'Surreal']",['Single-player']
